future_id,EB_site_cost_nzd,BB_site_cost_nzd,EB_site_co2_tonnes,BB_site_co2_tonnes,EB_site_electricity_MWh,BB_site_electricity_MWh,EB_upgrade_name,BB_upgrade_name,EB_upgrade_cost_nzd,BB_upgrade_cost_nzd,EB_shed_fraction,BB_shed_fraction,EB_shed_MWh,BB_shed_MWh,EB_rdm_cost_nzd,BB_rdm_cost_nzd,EB_system_cost_nzd,BB_system_cost_nzd,P_elec_mult,P_biomass_mult,ETS_mult,EB_site_cost_future_nzd,BB_site_cost_future_nzd,EB_system_cost_future_nzd,BB_system_cost_future_nzd,winner_system_cost_future,winner_system_cost_future_nzd,regret_EB_future_nzd,regret_BB_future_nzd,delta_site_cost_future_nzd,delta_upgrade_cost_nzd,delta_system_cost_future_nzd
0,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7032106.769400966,5241263.57879352,0.0,0.0,0.0,0.0,7032106.769400966,5241263.57879352,98032106.76940213,82072570.02004884,0.9529229755525384,1.022825116037529,1.3445901857502784,86715990.77528216,74072369.68163495,93748097.54468313,79313633.26042847,BB,79313633.26042847,14434464.284254655,0.0,12643621.093647212,1790843.1906074462,14434464.284254655
1,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4905822.709750735,4905822.709750735,0.0,0.0,0.0,0.0,4905822.709750735,4905822.709750735,95905822.7097519,81737129.15100606,1.2401137181920758,1.6303642460366887,0.9421041575704656,112850348.35548006,99709819.64405547,117756171.0652308,104615642.35380621,BB,104615642.35380621,13140528.71142459,0.0,13140528.71142459,0.0,13140528.71142459
2,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7425904.748487421,5534774.339205958,0.0,0.0,0.0,0.0,7425904.748487421,5534774.339205958,98425904.74848859,82366080.78046128,1.0937550307689814,1.3057891478632258,0.9969540336797074,99531707.79997846,86451151.47671731,106957612.5484659,91985925.81592327,BB,91985925.81592327,14971686.73254262,0.0,13080556.323261157,1891130.4092814634,14971686.73254262
3,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,9451151.498074898,7044258.249898491,0.0,0.0,0.0,0.0,9451151.498074898,7044258.249898491,100451151.49807607,83875564.69115381,1.0364259714649091,1.488974301821453,1.651094606279145,94314763.40330788,84906615.49125865,103765914.90138279,91950873.74115714,BB,91950873.74115714,11815041.160225645,0.0,9408147.912049234,2406893.248176407,11815041.160225645
4,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5241263.57879352,5241263.57879352,6.754848630448744e-05,0.0,55.88102048825779,0.0,6358883.988558676,5241263.57879352,97358883.98855984,82072570.02004884,0.8455110403746984,2.06152339374406,1.3127699596143283,76941504.67409872,78968615.95225167,83300388.6626574,84209879.5310452,EB,83300388.6626574,0.0,909490.8683878034,-2027111.2781529576,0.0,-909490.8683878034
5,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8733876.607596003,6509649.364861553,0.0,0.0,0.0,0.0,8733876.607596003,6509649.364861553,99733876.60759717,83340955.80611686,0.8454959270224566,1.250411202286792,0.8469818304027324,76940129.35904472,69602326.07238257,85674005.96664071,76111975.43724412,BB,76111975.43724412,9562030.529396594,0.0,7337803.286662146,2224227.24273445,9562030.529396594
6,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4580864.367865536,4580864.367865536,0.0,0.0,0.0,0.0,4580864.367865536,4580864.367865536,95580864.3678667,81412170.80912085,0.7692915964400212,1.3925689547037747,0.956055023270152,70005535.27604309,66277389.30698262,74586399.64390862,70858253.67484815,BB,70858253.67484815,3728145.9690604657,0.0,3728145.9690604657,0.0,3728145.9690604657
7,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7560921.19845992,5635406.599918793,0.0,0.0,0.0,0.0,7560921.19845992,5635406.599918793,98560921.19846109,82466713.04117411,1.168928621021596,1.7869406533601435,1.3645490757970895,106372504.5129664,96922951.05159058,113933425.71142632,102558357.65150937,BB,102558357.65150937,11375068.059916943,0.0,9449553.461375818,1925514.5985411266,11375068.059916943
8,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5524711.113134676,5524711.113134676,2.0001130259629857e-06,0.0,1.6215461786852643,0.0,5540926.574921528,5524711.113134676,96540926.5749227,82356017.55439,1.037387104995789,1.2334693782709296,0.8348536959746379,94402226.55461796,81922150.39693159,99943153.12953949,87446861.51006627,BB,87446861.51006627,12496291.619473219,0.0,12480076.157686368,0.0,12496291.619473219
9,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6831832.368608427,5091992.392069481,0.0,0.0,0.0,0.0,6831832.368608427,5091992.392069481,97831832.36860959,81923298.83332479,1.0825636179575246,1.092224755736145,0.9964533846493862,98513289.23413591,83273043.38136987,105345121.60274434,88365035.77343935,BB,88365035.77343935,16980085.829304993,0.0,15240245.852766037,1739839.976538946,16980085.829304993
10,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7434905.845152255,5541483.156586814,0.0,0.0,0.0,0.0,7434905.845152255,5541483.156586814,98434905.84515342,82372789.59784213,0.7210154990299413,1.2845507094331896,1.26411994675756,65612410.41172583,61935090.78002334,73047316.25687808,67476573.93661015,BB,67476573.93661015,5570742.320267931,0.0,3677319.63170249,1893422.6885654414,5570742.320267931
11,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5484877.509935844,5484877.509935844,6.498738211769933e-06,0.0,5.214942017753927,0.0,5537026.930113383,5484877.509935844,96537026.93011454,82316183.95119116,1.2641391461706128,1.1781837843619252,1.391949210370739,115036662.30152693,96158676.55641894,120573689.23164031,101643554.06635478,BB,101643554.06635478,18930135.165285528,0.0,18877985.745107993,0.0,18930135.165285528
12,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6089241.893759686,4538514.9581488855,0.0,0.0,0.0,0.0,6089241.893759686,4538514.9581488855,97089241.89376085,81369821.3994042,1.147388171609117,2.117601146540097,1.35374425449604,104412323.6164308,99306814.37884822,110501565.51019049,103845329.3369971,BB,103845329.3369971,6656236.17319338,0.0,5105509.237582579,1550726.9356108,6656236.17319338
13,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8563418.33950572,6382601.135711597,0.0,0.0,0.0,0.0,8563418.33950572,6382601.135711597,99563418.33950688,83213907.57696691,0.8780856902924374,1.8682487748282453,1.035180416529946,79905797.81661297,78837502.30205618,88469216.15611869,85220103.43776777,BB,85220103.43776777,3249112.718350917,0.0,1068295.5145567954,2180817.2037941236,3249112.718350917
14,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5377955.732928456,5377955.732928456,5.5583362209411615e-06,0.0,4.552277364950811,0.0,5423478.506577964,5377955.732928456,96423478.50657913,82209262.17418377,0.8610618794707838,1.626775981515442,1.412305407219909,78356631.03184249,75013798.47034518,83780109.53842045,80391754.20327364,BB,80391754.20327364,3388355.3351468146,0.0,3342832.561497301,0.0,3388355.3351468146
15,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6875712.714849489,5124697.876801153,0.0,0.0,0.0,0.0,6875712.714849489,5124697.876801153,97875712.71485065,81956004.31805646,0.8619766612485706,1.9829294318861812,1.0432863045801843,78439876.17362109,79102579.3982515,85315588.88847058,84227277.27505265,BB,84227277.27505265,1088311.6134179235,0.0,-662703.2246304154,1751014.838048336,1088311.6134179235
16,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7952468.903380165,5927240.155986016,0.0,0.0,0.0,0.0,7952468.903380165,5927240.155986016,98952468.90338133,82758546.59724133,0.9230189545161412,1.8609678567944783,1.1002665048977676,83994724.86097002,81694171.8563293,91947193.76435019,87621412.01231532,BB,87621412.01231532,4325781.752034873,0.0,2300553.0046407133,2025228.7473941492,4325781.752034873
17,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5547772.672881366,5547772.672881366,4.041614995571848e-07,0.0,0.3209777145574151,0.0,5554192.227172514,5547772.672881366,96554192.22717367,82379079.11413668,1.008774745585703,1.199255122371025,1.448447360754777,91798501.84830013,79752682.72135954,97352694.07547264,85300455.3942409,BB,85300455.3942409,12052238.681231737,0.0,12045819.126940593,0.0,12052238.681231737
18,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7163185.239582601,5338960.731902231,0.0,0.0,0.0,0.0,7163185.239582601,5338960.731902231,98163185.23958376,82170267.17315754,0.9753098977395528,2.027266160359927,1.3515861497906276,88753200.69430047,87047466.9130501,95916385.93388307,92386427.64495233,BB,92386427.64495233,3529958.288930744,0.0,1705733.7812503725,1824224.5076803695,3529958.288930744
19,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5242102.180966128,5242102.180966128,1.5817976014901662e-05,0.0,13.08578015778228,0.0,5438388.883332862,5242102.180966128,96438388.88333403,82073408.62222144,0.9171163404745586,1.5211393680326877,1.5746390857083994,83457586.98318599,77482469.61329883,88895975.86651886,82724571.79426496,BB,82724571.79426496,6171404.072253898,0.0,5975117.369887158,0.0,6171404.072253898
20,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7306077.649136828,5445463.207823317,0.0,0.0,0.0,0.0,7306077.649136828,5445463.207823317,98306077.64913799,82276769.64907864,1.0416235404687688,1.867129968114503,1.359012847835787,94787742.18265912,89538096.30735698,102093819.83179595,94983559.5151803,BB,94983559.5151803,7110260.316615641,0.0,5249645.875302136,1860614.4413135117,7110260.316615641
21,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6787659.486725758,5059068.870772931,0.0,0.0,0.0,0.0,6787659.486725758,5059068.870772931,97787659.48672692,81890375.31202824,0.8348675089347781,2.035102058340614,1.280257215390502,75972943.31306598,77966828.75560246,82760602.79979174,83025897.62637539,EB,82760602.79979174,0.0,265294.8265836537,-1993885.4425364882,1728590.615952827,-265294.8265836537
22,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7169007.823987665,5343300.498145473,0.0,0.0,0.0,0.0,7169007.823987665,5343300.498145473,98169007.82398883,82174606.93940079,0.9175358646819682,1.3089698693741945,0.9499398021832168,83495763.68606026,74987193.26065531,90664771.51004793,80330493.75880079,BB,80330493.75880079,10334277.751247138,0.0,8508570.425404951,1825707.3258421915,10334277.751247138
23,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7603293.861009622,5666988.357739171,0.0,0.0,0.0,0.0,7603293.861009622,5666988.357739171,98603293.86101079,82498294.79899448,0.949597482644555,1.1298367328633194,1.1289425757570974,86413370.92065567,75050893.9364191,94016664.7816653,80717882.29415826,BB,80717882.29415826,13298782.48750703,0.0,11362476.984236568,1936305.503270451,13298782.48750703
24,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,9773790.182340432,7284731.615904402,0.0,0.0,0.0,0.0,9773790.182340432,7284731.615904402,100773790.18234159,84116038.05715972,0.9842710668502044,1.2327609294561814,1.0609807463199012,89568667.08336976,78482394.73207544,99342457.26571019,85767126.34797984,BB,85767126.34797984,13575330.917730346,0.0,11086272.351294324,2489058.56643603,13575330.917730346
25,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5457895.485032215,5457895.485032215,0.0,0.0,0.0,0.0,5457895.485032215,5457895.485032215,96457895.48503338,82289201.92628753,1.1205835893866534,1.4083884392067905,1.047523003981146,101973106.63418663,89384427.10344091,107431002.11921884,94842322.58847313,BB,94842322.58847313,12588679.530745715,0.0,12588679.530745715,0.0,12588679.530745715
26,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4296997.532438081,4296997.532438081,2.0261103386112152e-05,0.0,16.426229090668016,0.0,4543390.968798101,4296997.532438081,95543390.96879926,81128303.9736934,0.8711788340434006,1.88475266202834,1.8200351859471824,79277273.89795062,78689943.82243927,83820664.86674872,82986941.35487735,BB,82986941.35487735,833723.5118713677,0.0,587330.0755113512,0.0,833723.5118713677
27,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5493271.917683639,5493271.917683639,0.0,0.0,0.0,0.0,5493271.917683639,5493271.917683639,96493271.9176848,82324578.35893896,1.005018025704726,1.9617803544770915,1.1466051732053402,91456640.33913124,88204758.30960281,96949912.25681487,93698030.22728646,BB,93698030.22728646,3251882.0295284092,0.0,3251882.029528424,0.0,3251882.0295284092
